t=2026-01-06T00:31:40-0500 lvl=info msg="no configuration paths supplied"
t=2026-01-06T00:31:40-0500 lvl=info msg="using configuration at default config path" path=/home/zepvalue/.config/ngrok/ngrok.yml
t=2026-01-06T00:31:40-0500 lvl=info msg="open config file" path=/home/zepvalue/.config/ngrok/ngrok.yml err=nil
t=2026-01-06T00:31:40-0500 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-01-06T00:31:40-0500 lvl=warn msg="can't bind default web address, trying alternatives" obj=web addr=127.0.0.1:4040
t=2026-01-06T00:31:40-0500 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4041 allow_hosts=[]
t=2026-01-06T00:35:53-0500 lvl=info msg="join connections" obj=join id=8eb2250415cc l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:35:53-0500 lvl=info msg="join connections" obj=join id=6a67831b1e50 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:35:53-0500 lvl=info msg="join connections" obj=join id=8c0b22ec4ae5 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:35:55-0500 lvl=info msg="join connections" obj=join id=9ca00de04e5e l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:35:55-0500 lvl=info msg="join connections" obj=join id=582b859de7ea l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:35:55-0500 lvl=info msg="join connections" obj=join id=7a9c246446fa l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:35:59-0500 lvl=info msg="join connections" obj=join id=9ca8478ae2ac l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:35:59-0500 lvl=info msg="join connections" obj=join id=66e47f942567 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:35:59-0500 lvl=info msg="join connections" obj=join id=4c12a95d2107 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:36:00-0500 lvl=info msg="join connections" obj=join id=d4a8e5f77259 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:36:00-0500 lvl=info msg="join connections" obj=join id=9a33e66b712c l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:36:00-0500 lvl=info msg="join connections" obj=join id=e8e0e2ff1f6c l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:36:04-0500 lvl=info msg="join connections" obj=join id=90599a56e79a l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:36:04-0500 lvl=info msg="join connections" obj=join id=b6c50a68a59d l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:36:04-0500 lvl=info msg="join connections" obj=join id=bd5680f885b4 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:36:06-0500 lvl=info msg="join connections" obj=join id=67d34d2b92cd l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:36:06-0500 lvl=info msg="join connections" obj=join id=f31d593fe43d l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:36:06-0500 lvl=info msg="join connections" obj=join id=2d3eb968688a l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:36:10-0500 lvl=info msg="join connections" obj=join id=c26b966dfb88 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:36:10-0500 lvl=info msg="join connections" obj=join id=d4a7b89c8a87 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:36:11-0500 lvl=info msg="join connections" obj=join id=424a94e0b6b4 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:36:11-0500 lvl=info msg="join connections" obj=join id=f88d2f81538e l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:36:13-0500 lvl=info msg="join connections" obj=join id=3ce8555d689a l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:36:13-0500 lvl=info msg="join connections" obj=join id=a91f2506a5eb l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:36:14-0500 lvl=info msg="join connections" obj=join id=c11f89311b78 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:36:14-0500 lvl=info msg="join connections" obj=join id=f1d67054482e l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:36:18-0500 lvl=info msg="join connections" obj=join id=7ebbcbb9a2aa l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:36:18-0500 lvl=info msg="join connections" obj=join id=6fef623a7a38 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:36:20-0500 lvl=info msg="join connections" obj=join id=2d5912272b6a l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:36:20-0500 lvl=info msg="join connections" obj=join id=6fe6ca22bd6f l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:36:23-0500 lvl=info msg="join connections" obj=join id=34a393a42875 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:36:23-0500 lvl=info msg="join connections" obj=join id=5e32bc79b273 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:36:25-0500 lvl=info msg="join connections" obj=join id=3fea46e41b74 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:36:25-0500 lvl=info msg="join connections" obj=join id=16c172d290bf l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:36:25-0500 lvl=info msg="join connections" obj=join id=600e65bb9f81 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:36:29-0500 lvl=info msg="join connections" obj=join id=0e71ed9c4ceb l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:36:29-0500 lvl=info msg="join connections" obj=join id=7c53228d1c6c l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:36:29-0500 lvl=info msg="join connections" obj=join id=2ced02854fc2 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:36:30-0500 lvl=info msg="join connections" obj=join id=afc1c5798648 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:36:30-0500 lvl=info msg="join connections" obj=join id=1590c471d9b3 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:36:30-0500 lvl=info msg="join connections" obj=join id=b2765b4d7957 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:36:34-0500 lvl=info msg="join connections" obj=join id=6475deb4a2b9 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:36:34-0500 lvl=info msg="join connections" obj=join id=033836e1021b l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:36:35-0500 lvl=info msg="join connections" obj=join id=ed2157651dbc l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:36:39-0500 lvl=info msg="join connections" obj=join id=d1831937cb8c l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:36:39-0500 lvl=info msg="join connections" obj=join id=66207d353860 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:36:41-0500 lvl=info msg="join connections" obj=join id=626d49a4906f l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:36:41-0500 lvl=info msg="join connections" obj=join id=9e30f2dd9f7d l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:36:41-0500 lvl=info msg="join connections" obj=join id=18f54cfdf9e9 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:36:43-0500 lvl=info msg="join connections" obj=join id=71a4923c6176 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:36:43-0500 lvl=info msg="join connections" obj=join id=803b0ec53a59 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:36:44-0500 lvl=info msg="join connections" obj=join id=02c913316f56 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:36:44-0500 lvl=info msg="join connections" obj=join id=0d02f3db9fe8 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:36:48-0500 lvl=info msg="join connections" obj=join id=462ca38785c7 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:36:48-0500 lvl=info msg="join connections" obj=join id=7c30188c3f34 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:36:50-0500 lvl=info msg="join connections" obj=join id=595c226ae82d l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:36:50-0500 lvl=info msg="join connections" obj=join id=9c94c57ef786 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:36:53-0500 lvl=info msg="join connections" obj=join id=ae59528238ae l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:36:55-0500 lvl=info msg="join connections" obj=join id=c29d0914c7a2 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:36:55-0500 lvl=info msg="join connections" obj=join id=15597e1fa7b5 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:36:59-0500 lvl=info msg="join connections" obj=join id=1254967f1a70 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:36:59-0500 lvl=info msg="join connections" obj=join id=c3345cafedc2 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:36:59-0500 lvl=info msg="join connections" obj=join id=7a47c2d9d7ad l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:37:00-0500 lvl=info msg="join connections" obj=join id=2ea6bbecc9f6 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:37:00-0500 lvl=info msg="join connections" obj=join id=3fe80349ada2 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:37:00-0500 lvl=info msg="join connections" obj=join id=980a6f7aeab2 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:37:04-0500 lvl=info msg="join connections" obj=join id=a65c0787b8e6 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:37:04-0500 lvl=info msg="join connections" obj=join id=bfd77c255e1f l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:37:04-0500 lvl=info msg="join connections" obj=join id=a772b3e867fe l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:37:06-0500 lvl=info msg="join connections" obj=join id=4a7c86351dfa l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:37:06-0500 lvl=info msg="join connections" obj=join id=01bbeff62dd0 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:37:06-0500 lvl=info msg="join connections" obj=join id=de6a6f0ec875 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:37:09-0500 lvl=info msg="join connections" obj=join id=f609592bd49b l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:37:10-0500 lvl=info msg="join connections" obj=join id=bbe3713db6a6 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:37:11-0500 lvl=info msg="join connections" obj=join id=eb520543d85e l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:37:11-0500 lvl=info msg="join connections" obj=join id=b9ed9ff85b19 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:37:13-0500 lvl=info msg="join connections" obj=join id=d57b7f6ecdc6 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:37:13-0500 lvl=info msg="join connections" obj=join id=6aba3f56cec4 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:37:13-0500 lvl=info msg="join connections" obj=join id=0ecf4db9b5ba l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:37:14-0500 lvl=info msg="join connections" obj=join id=19be742b4f3b l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:37:14-0500 lvl=info msg="join connections" obj=join id=a8425a63ba98 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:37:18-0500 lvl=info msg="join connections" obj=join id=501a86369e26 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:37:18-0500 lvl=info msg="join connections" obj=join id=a927a04fb7d7 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:37:20-0500 lvl=info msg="join connections" obj=join id=497949878a8f l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:37:20-0500 lvl=info msg="join connections" obj=join id=eab6346bc281 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:37:20-0500 lvl=info msg="join connections" obj=join id=d4cffeea562c l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:37:23-0500 lvl=info msg="join connections" obj=join id=b10227fad500 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:37:23-0500 lvl=info msg="join connections" obj=join id=ae3030b2d685 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:37:23-0500 lvl=info msg="join connections" obj=join id=6d62d6ca1151 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:37:25-0500 lvl=info msg="join connections" obj=join id=381f4372a3af l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:37:25-0500 lvl=info msg="join connections" obj=join id=6de2da6b7589 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:37:25-0500 lvl=info msg="join connections" obj=join id=7b67b5279888 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:37:29-0500 lvl=info msg="join connections" obj=join id=6558c3fd0f40 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:37:29-0500 lvl=info msg="join connections" obj=join id=8b8e9059cc51 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:37:29-0500 lvl=info msg="join connections" obj=join id=ffc69ceff1f7 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:37:30-0500 lvl=info msg="join connections" obj=join id=8ed96c7419ef l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:37:30-0500 lvl=info msg="join connections" obj=join id=975605b8b75d l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:37:30-0500 lvl=info msg="join connections" obj=join id=4cc0180dcef9 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:37:34-0500 lvl=info msg="join connections" obj=join id=07c8dac494fe l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:37:34-0500 lvl=info msg="join connections" obj=join id=8ebf29167f6d l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:37:34-0500 lvl=info msg="join connections" obj=join id=9f1447e40cc6 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:37:36-0500 lvl=info msg="join connections" obj=join id=80a1253a7de9 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:37:36-0500 lvl=info msg="join connections" obj=join id=234dac771ab7 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:37:36-0500 lvl=info msg="join connections" obj=join id=b6da8ef17568 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:37:39-0500 lvl=info msg="join connections" obj=join id=9f76a758d8f9 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
t=2026-01-06T00:37:41-0500 lvl=info msg="join connections" obj=join id=ce0d663b7ac6 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:37:41-0500 lvl=info msg="join connections" obj=join id=c767377bebfc l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:37:42-0500 lvl=info msg="join connections" obj=join id=1828eebae1a5 l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:bfb4:fe58:a012:ddb6]:37058
t=2026-01-06T00:37:42-0500 lvl=info msg="join connections" obj=join id=b5d362de640f l=127.0.0.1:8000 r=[2600:4041:5c1c:e900:37:29b6:95df:feec]:55056
